time,ax,ay,az
38.404,-226.0,-13.0,-956.0
38.671,-226.0,10.0,-961.0
38.796,-24.0,-6.0,-968.0
38.92,230.0,13.0,-941.0
39.044,493.0,-9.0,-817.0
39.168,698.0,-32.0,-604.0
39.292,860.0,-46.0,-344.0
39.416,945.0,-21.0,-181.0
39.68,950.0,-6.0,-153.0
39.804,945.0,-33.0,-236.0
39.928,910.0,-73.0,-373.0
40.052,774.0,-78.0,-556.0
40.176,529.0,-82.0,-726.0
40.3,233.0,-36.0,-880.0
40.424,1.0,-4.0,-949.0
40.548,-146.0,50.0,-989.0
40.812,-185.0,84.0,-992.0
40.936,-72.0,80.0,-930.0
41.06,138.0,77.0,-873.0
41.184,408.0,53.0,-757.0
41.308,672.0,14.0,-622.0
41.432,833.0,-28.0,-410.0
41.556,921.0,-54.0,-214.0
41.96,950.0,-56.0,-160.0
42.084,874.0,-53.0,-345.0
42.208,676.0,-49.0,-585.0
42.332,438.0,-52.0,-800.0
42.456,216.0,-60.0,-913.0
42.58,84.0,-41.0,-970.0
42.708,-26.0,-12.0,-989.0
43.112,-54.0,29.0,-982.0
43.236,102.0,14.0,-953.0
43.359,318.0,-17.0,-893.0
43.484,528.0,-49.0,-793.0
43.608,701.0,-52.0,-600.0
43.732,846.0,-58.0,-392.0
43.856,930.0,-61.0,-190.0
44.12,945.0,-62.0,-141.0
44.244,905.0,-72.0,-286.0
44.368,749.0,-74.0,-493.0
44.492,542.0,-102.0,-764.0
44.616,321.0,-102.0,-910.0
44.74,190.0,-102.0,-992.0
44.864,84.0,-77.0,-966.0
44.988,-12.0,-48.0,-981.0
45.252,-64.0,-2.0,-993.0
45.376,57.0,33.0,-844.0
45.5,270.0,44.0,-805.0
45.624,442.0,44.0,-738.0
45.748,594.0,2.0,-789.0
45.872,709.0,-21.0,-634.0
45.996,826.0,-46.0,-489.0
46.12,888.0,-46.0,-356.0
46.384,889.0,-41.0,-349.0
46.508,838.0,-84.0,-458.0
46.635,690.0,-86.0,-596.0
46.76,472.0,-61.0,-770.0
46.884,240.0,-14.0,-889.0
47.008,36.0,9.0,-964.0
47.132,-117.0,28.0,-989.0
47.676,-112.0,77.0,-990.0
47.8,-16.0,88.0,-996.0
47.924,146.0,86.0,-960.0
48.048,377.0,44.0,-850.0
48.172,636.0,-36.0,-670.0
48.296,822.0,-85.0,-478.0
48.42,908.0,-86.0,-304.0
48.544,928.0,-81.0,-182.0
48.808,908.0,-98.0,-262.0
48.932,766.0,-101.0,-485.0
49.056,556.0,-68.0,-737.0
49.18,316.0,-53.0,-880.0
49.308,130.0,-45.0,-956.0
49.432,-28.0,-57.0,-966.0
49.556,-133.0,-57.0,-981.0
49.82,-13.0,-46.0,-957.0
49.944,196.0,-49.0,-914.0
50.067,413.0,-56.0,-853.0
50.192,545.0,-57.0,-786.0
50.316,684.0,-93.0,-645.0
50.44,816.0,-145.0,-478.0
50.564,897.0,-164.0,-316.0
50.692,926.0,-169.0,-232.0
51.096,928.0,-170.0,-185.0
51.22,876.0,-150.0,-294.0
51.344,758.0,-134.0,-490.0
51.467,538.0,-100.0,-701.0
51.592,297.0,-68.0,-865.0
51.716,73.0,-30.0,-954.0
51.84,-49.0,-8.0,-988.0
51.964,-77.0,-9.0,-994.0
52.368,49.0,-42.0,-970.0
52.492,185.0,-44.0,-962.0
52.616,356.0,-48.0,-921.0
52.74,508.0,-61.0,-837.0
52.864,658.0,-108.0,-676.0
52.988,782.0,-145.0,-532.0
53.112,858.0,-162.0,-410.0
53.516,862.0,-145.0,-404.0
53.641,809.0,-141.0,-501.0
53.764,648.0,-129.0,-662.0
53.887,425.0,-98.0,-822.0
54.012,185.0,-49.0,-936.0
54.136,52.0,-17.0,-997.0
54.26,-50.0,8.0,-1009.0
54.384,-101.0,20.0,-1010.0
54.647,-117.0,68.0,-1013.0
54.775,-57.0,24.0,-1004.0
54.9,4.0,25.0,-992.0
55.164,110.0,32.0,-990.0
55.287,170.0,8.0,-948.0
55.412,354.0,-16.0,-918.0
55.535,521.0,-66.0,-814.0
55.66,650.0,-132.0,-720.0
55.925,698.0,-178.0,-589.0
56.188,700.0,-201.0,-636.0
56.312,558.0,-196.0,-734.0
56.436,342.0,-177.0,-852.0
56.56,100.0,-94.0,-918.0
56.684,-76.0,-61.0,-977.0
57.087,-186.0,-5.0,-998.0
57.211,-134.0,-22.0,-997.0
57.336,-41.0,-54.0,-982.0
57.46,112.0,-130.0,-936.0
57.584,297.0,-220.0,-833.0
57.708,510.0,-310.0,-672.0
57.832,677.0,-337.0,-514.0
57.956,789.0,-326.0,-402.0
58.36,797.0,-266.0,-437.0
58.483,688.0,-234.0,-569.0
58.607,514.0,-198.0,-709.0
58.732,276.0,-140.0,-840.0
58.859,29.0,-70.0,-945.0
58.984,-138.0,-13.0,-1005.0
59.108,-186.0,18.0,-1017.0
59.372,-116.0,-8.0,-985.0
59.776,-46.0,29.0,-985.0
59.9,48.0,18.0,-989.0
60.024,246.0,-18.0,-924.0
60.148,497.0,-74.0,-758.0
60.272,722.0,-108.0,-554.0
60.396,861.0,-108.0,-372.0
60.519,922.0,-112.0,-252.0
60.787,940.0,-142.0,-233.0
60.908,845.0,-146.0,-374.0
61.032,662.0,-133.0,-581.0
61.156,394.0,-62.0,-790.0
61.279,157.0,-32.0,-918.0
61.404,-56.0,12.0,-974.0
61.528,-186.0,29.0,-1000.0
61.651,-217.0,52.0,-1002.0
61.776,-149.0,34.0,-1020.0
61.899,-49.0,21.0,-1013.0
62.023,80.0,-10.0,-1008.0
62.148,212.0,-32.0,-957.0
62.272,372.0,-60.0,-896.0
62.396,524.0,-77.0,-805.0
62.52,648.0,-74.0,-706.0
62.644,750.0,-76.0,-596.0
62.768,821.0,-73.0,-474.0
63.036,860.0,-100.0,-444.0
63.16,793.0,-97.0,-545.0
63.284,689.0,-94.0,-665.0
63.408,570.0,-104.0,-760.0
63.532,448.0,-100.0,-841.0
63.656,340.0,-102.0,-896.0
63.78,230.0,-92.0,-928.0
63.904,142.0,-84.0,-954.0
64.168,90.0,-52.0,-980.0
64.292,168.0,-90.0,-962.0
64.415,322.0,-125.0,-900.0
64.54,506.0,-149.0,-798.0
64.663,676.0,-129.0,-665.0
64.788,817.0,-90.0,-554.0
64.912,869.0,-78.0,-462.0
65.035,892.0,-76.0,-408.0
65.16,868.0,-102.0,-401.0
65.283,820.0,-102.0,-477.0
65.408,694.0,-98.0,-625.0
65.532,514.0,-80.0,-794.0
65.656,277.0,-48.0,-914.0
65.78,93.0,-26.0,-976.0
65.904,-52.0,-14.0,-981.0
66.028,-102.0,13.0,-989.0
66.153,-126.0,-6.0,-968.0
66.416,-29.0,17.0,-934.0
66.54,174.0,49.0,-894.0
66.664,430.0,17.0,-829.0
66.792,598.0,-109.0,-700.0
66.915,693.0,-210.0,-608.0
67.039,749.0,-304.0,-506.0
67.164,794.0,-309.0,-409.0
67.427,737.0,-305.0,-464.0
67.552,557.0,-257.0,-666.0
67.676,270.0,-186.0,-858.0
67.8,0.0,-140.0,-934.0
67.924,-160.0,-130.0,-948.0
68.047,-182.0,-144.0,-972.0
68.176,-113.0,-138.0,-969.0
68.3,-6.0,-124.0,-978.0
68.424,126.0,-80.0,-930.0
68.548,290.0,-70.0,-864.0
68.672,500.0,-88.0,-738.0
68.796,680.0,-133.0,-605.0
68.92,805.0,-157.0,-454.0
69.044,857.0,-176.0,-348.0
69.307,897.0,-201.0,-341.0
69.431,790.0,-212.0,-477.0
69.556,600.0,-205.0,-660.0
69.68,353.0,-221.0,-814.0
69.803,165.0,-224.0,-913.0
69.927,34.0,-230.0,-956.0
70.191,86.0,-225.0,-945.0
70.316,290.0,-230.0,-888.0
70.44,521.0,-226.0,-777.0
70.564,700.0,-230.0,-632.0
70.691,802.0,-224.0,-521.0
70.816,838.0,-208.0,-438.0
70.94,853.0,-197.0,-384.0
71.204,770.0,-222.0,-458.0
71.327,577.0,-214.0,-645.0
71.451,308.0,-190.0,-810.0
71.576,90.0,-148.0,-926.0
71.699,-53.0,-109.0,-968.0
71.963,-116.0,-50.0,-997.0
72.087,97.0,-96.0,-1012.0
72.211,349.0,-126.0,-942.0
72.335,612.0,-174.0,-816.0
72.459,713.0,-169.0,-630.0
72.584,770.0,-192.0,-533.0
73.128,732.0,-337.0,-557.0
73.252,581.0,-344.0,-658.0
73.375,381.0,-376.0,-780.0
73.5,204.0,-240.0,-872.0
73.624,68.0,-178.0,-957.0
73.871,32.0,-110.0,-956.0
73.995,65.0,-182.0,-920.0
74.119,272.0,-208.0,-865.0
74.244,405.0,-154.0,-812.0
74.367,650.0,-93.0,-736.0
74.492,709.0,-81.0,-617.0
74.616,825.0,-141.0,-480.0
74.744,872.0,-173.0,-313.0
75.007,861.0,-194.0,-282.0
75.132,696.0,-174.0,-542.0
75.255,444.0,-122.0,-805.0
75.38,194.0,-89.0,-954.0
75.504,-14.0,-53.0,-956.0
75.627,-133.0,-54.0,-961.0
76.452,-108.0,-4.0,-969.0
76.576,44.0,-4.0,-929.0
76.7,282.0,-48.0,-870.0
76.824,456.0,-73.0,-805.0
76.947,601.0,-82.0,-738.0
77.072,665.0,-62.0,-669.0
77.196,658.0,-74.0,-660.0
77.32,522.0,-88.0,-754.0
77.444,302.0,-62.0,-892.0
77.567,109.0,-10.0,-969.0
77.831,-98.0,37.0,-974.0
77.955,-165.0,41.0,-994.0
78.22,-161.0,32.0,-992.0
78.344,-49.0,9.0,-980.0
78.467,129.0,-45.0,-954.0
78.591,332.0,-108.0,-900.0
78.716,490.0,-132.0,-832.0
78.843,616.0,-110.0,-741.0
78.968,702.0,-76.0,-629.0
79.232,726.0,-92.0,-584.0
79.355,526.0,-53.0,-825.0
79.481,300.0,-32.0,-981.0
79.604,88.0,-10.0,-1060.0
79.727,-10.0,-29.0,-986.0
79.851,-92.0,-16.0,-980.0
79.975,-78.0,17.0,-992.0
80.099,12.0,4.0,-1010.0
80.224,161.0,-48.0,-1014.0
80.348,313.0,-130.0,-944.0
80.473,430.0,-173.0,-834.0
80.595,520.0,-168.0,-741.0
80.719,589.0,-173.0,-686.0
81.123,644.0,-216.0,-674.0
81.247,577.0,-216.0,-725.0
81.371,424.0,-217.0,-800.0
81.496,260.0,-160.0,-898.0
81.62,100.0,-141.0,-961.0
81.743,-80.0,-106.0,-1036.0
81.867,-145.0,-84.0,-1021.0
81.991,-128.0,-94.0,-1010.0
82.115,1.0,-138.0,-946.0
82.24,94.0,-200.0,-961.0
82.363,224.0,-244.0,-916.0
82.487,349.0,-266.0,-834.0
82.611,513.0,-336.0,-714.0
82.748,606.0,-345.0,-633.0
82.864,700.0,-364.0,-576.0
82.987,728.0,-333.0,-586.0
83.112,612.0,-332.0,-682.0
83.235,408.0,-296.0,-829.0
83.36,174.0,-245.0,-937.0
83.483,54.0,-182.0,-966.0
83.887,104.0,-169.0,-949.0
84.011,278.0,-217.0,-874.0
84.135,480.0,-276.0,-757.0
84.26,637.0,-294.0,-654.0
84.384,725.0,-288.0,-581.0
84.507,765.0,-280.0,-533.0
84.632,753.0,-289.0,-522.0
84.756,670.0,-289.0,-609.0
84.879,517.0,-274.0,-733.0
85.003,310.0,-229.0,-865.0
85.128,154.0,-197.0,-794.0
85.252,12.0,-138.0,-830.0
85.376,-61.0,-101.0,-848.0
85.919,-53.0,-80.0,-1001.0
86.044,97.0,-129.0,-970.0
86.169,298.0,-186.0,-897.0
86.291,472.0,-265.0,-792.0
86.415,582.0,-301.0,-704.0
86.54,621.0,-302.0,-657.0
86.664,658.0,-286.0,-654.0
86.792,606.0,-234.0,-742.0
86.915,470.0,-200.0,-888.0
87.04,294.0,-157.0,-960.0
87.163,137.0,-141.0,-980.0
87.288,49.0,-114.0,-949.0
87.692,29.0,-74.0,-981.0
87.815,105.0,-102.0,-976.0
87.94,220.0,-102.0,-924.0
88.063,388.0,-178.0,-837.0
