time,ax,ay,az
91.977,-122,816,-136
92.101,-149,862,-68
92.225,-145,909,-14
92.489,-117,920,-74
92.613,-98,860,-229
92.737,-46,710,-458
92.861,-52,557,-778
92.985,-1,358,-934
93.109,2,206,-1061
93.233,26,58,-1065
93.357,-14,-37,-1104
93.764,-64,-105,-1044
94.029,-74,-54,-1148
94.153,-45,28,-1264
94.278,0,192,-1205
94.401,38,414,-920
94.525,21,636,-552
94.649,-1,780,-248
94.773,-26,852,-61
95.161,-57,830,-25
95.285,-48,730,-262
95.409,-34,546,-644
95.533,-34,353,-1006
95.657,-77,178,-1206
95.781,-100,21,-1208
95.905,-106,-45,-1148
96.029,-56,-105,-1077
96.153,0,-76,-1064
96.417,54,-68,-1124
96.541,62,20,-1256
96.665,38,177,-1234
96.789,38,413,-977
96.913,4,596,-544
97.037,-5,740,-212
97.161,-58,825,-12
97.285,-90,888,112
97.409,-121,928,124
97.533,-117,904,106
97.657,-86,830,-25
97.785,-32,666,-317
97.909,20,436,-705
98.035,17,209,-1069
98.157,18,29,-1226
98.281,32,-80,-1173
98.405,30,-138,-1088
98.529,13,-158,-1026
98.793,-4,-154,-1138
98.917,-25,-49,-1294
99.041,-13,177,-1281
99.165,-10,453,-1052
99.289,20,628,-566
99.413,-13,714,-178
99.537,-34,788,100
99.661,-44,880,174
99.785,-14,950,138
100.049,29,913,96
100.173,48,821,32
100.297,9,689,-193
100.421,-41,552,-612
100.545,-65,326,-1014
100.669,-93,121,-1260
100.793,-80,-50,-1262
100.917,-74,-126,-1140
101.041,-37,-138,-1017
101.165,-12,-117,-996
101.289,-21,-80,-1036
101.413,-68,-17,-1105
101.537,-142,193,-1085
101.665,-137,469,-966
101.789,-93,702,-661
101.913,-30,825,-350
102.037,-53,906,-86
102.161,-62,982,26
102.425,-68,1005,61
102.549,-73,988,-54
102.673,-46,898,-309
102.801,-8,565,-654
102.925,33,113,-890
103.049,37,-298,-1004
103.313,8,-461,-966
103.857,8,-381,-988
103.981,5,-165,-1025
104.105,-8,214,-949
104.229,-30,673,-682
104.353,-73,914,-276
104.477,-93,980,-6
104.601,-92,985,74
105.285,-53,974,-106
105.409,-54,785,-386
105.533,-38,457,-769
105.657,-28,142,-1004
106.745,-4,13,-1033
106.869,8,190,-988
106.993,4,464,-844
107.117,-14,724,-600
107.241,-54,896,-352
107.365,-69,958,-170
107.49,-74,990,-77
108.033,-96,1005,-28
108.157,-113,968,-129
108.281,-94,829,-328
108.405,-74,634,-546
108.529,-57,382,-769
108.653,-78,197,-917
108.777,-88,64,-1033
109.181,-44,4,-1053
109.725,-24,74,-1122
109.849,-21,230,-1148
109.973,-52,444,-992
110.097,-89,673,-632
110.222,-120,828,-246
110.349,-96,937,8
110.893,-45,972,69
111.017,-64,920,-68
111.141,-73,777,-354
111.265,-70,550,-664
111.389,-48,337,-926
111.513,-34,173,-1048
111.637,-30,101,-1134
111.761,-32,33,-1125
111.885,-25,9,-1096
112.289,-16,24,-1081
112.413,-26,118,-1138
112.537,-29,330,-1105
112.661,-37,553,-900
112.785,-58,734,-536
112.909,-85,812,-233
113.033,-97,880,-52
113.157,-77,945,-13
113.562,-21,982,20
113.685,-26,897,-109
113.809,-40,770,-365
113.933,-62,576,-652
114.057,-78,420,-893
114.181,-84,302,-1036
114.305,-73,217,-1073
114.432,-58,140,-1084
115.117,-8,84,-1069
115.241,-6,213,-1116
115.365,-13,381,-1030
115.489,-24,565,-829
115.613,-26,718,-470
115.737,-18,857,-205
115.861,-14,933,-50
116.405,-53,908,-116
116.529,-80,765,-326
116.654,-84,586,-676
116.777,-73,444,-994
116.901,-60,330,-1164
117.025,-46,209,-1136
117.149,-45,122,-1070
117.413,-18,14,-1081
117.537,-17,-16,-1053
117.801,0,-21,-1076
117.925,4,76,-1128
118.049,5,258,-1069
118.173,6,502,-872
118.297,5,689,-558
118.421,-2,816,-273
118.545,-22,916,-69
119.233,-60,961,36
119.357,-84,897,-102
119.481,-72,748,-404
119.605,-49,554,-702
119.729,-6,322,-962
119.853,-10,154,-1062
119.977,-28,14,-1097
120.801,5,-25,-1122
120.925,8,193,-1076
121.049,-18,492,-902
121.173,-60,757,-590
121.297,-66,864,-293
121.421,-42,908,-62
121.545,-29,929,65
121.669,-49,974,86
121.933,-69,965,-13
122.057,-73,900,-193
122.181,-74,754,-473
122.305,-78,542,-758
122.429,-50,312,-949
122.553,-22,152,-1064
122.677,-10,57,-1092
123.345,-26,-42,-1078
123.469,-14,113,-1149
123.593,-8,380,-1045
123.717,-10,644,-769
123.841,-40,800,-385
123.965,-56,856,-138
124.089,-70,917,-30
124.213,-66,970,-6
124.617,-49,949,-80
124.741,-77,830,-286
124.865,-94,676,-590
124.989,-80,454,-837
125.113,-50,281,-1008
125.237,-32,121,-1092
125.361,-20,49,-1129
125.485,-6,-25,-1104
126.169,-29,-69,-1045
126.293,-26,22,-1150
126.417,-17,233,-1160
126.541,-10,466,-976
126.665,-24,685,-606
126.789,-54,785,-250
126.913,-82,850,-33
127.037,-82,881,96
127.305,-49,949,149
127.429,-42,957,100
127.553,-57,957,25
127.677,-70,920,-133
127.801,-90,818,-353
127.925,-104,657,-669
128.049,-116,457,-904
128.173,-132,317,-1070
128.297,-122,169,-1113
128.421,-112,86,-1132
128.545,-81,-16,-1106
128.669,-73,-40,-1078
129.493,-13,26,-1086
129.617,34,197,-1284
129.741,62,413,-1325
129.865,68,581,-1080
129.989,1,612,-500
130.113,-53,657,-29
130.237,-72,730,225
130.361,-64,838,282
130.485,-57,904,281
130.609,-66,940,186
130.733,-76,912,-22
130.857,-80,817,-328
130.981,-85,637,-638
131.105,-108,368,-853
131.233,-93,93,-1005
131.357,-73,-85,-1101
131.481,-41,-80,-1174
131.605,-41,12,-1102
131.869,-10,60,-996
132.133,-24,-36,-1026
132.397,-12,42,-1136
132.521,-4,204,-1293
132.645,-9,432,-1257
132.769,-34,605,-981
132.893,-48,713,-534
133.017,-50,750,-154
133.141,-45,801,85
133.265,-48,870,221
133.389,-69,932,234
133.513,-69,954,217
